# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300
8.95116   314.7125  9.33022   315.1183  7.73123   314.5916  9.22629   315.6821  7.62096   314.0427  4.14302   313.7415  3.39062   311.5596
9.41481   315.1974  9.86256   315.6761  8.23039   315.1606  9.85341   316.3266  8.14957   314.6564  4.54326   314.2359  3.8063    312.1072
9.90708   315.7069  10.4495   316.2895  8.77513   315.7367  10.5042   316.9875  8.69638   315.2484  4.97045   314.7499  4.2167    312.6463
10.4283   316.2463  11.0644   316.8921  9.38907   316.3654  11.1732   317.6243  9.2937    315.8671  5.40525   315.2541  4.64507   313.1977
10.9623   316.7661  11.726    317.5151  10.0261   317.0045  11.8691   318.2542  9.93837   316.5186  5.87637   315.7823  5.1097    313.7756
11.5376   317.3094  12.4036   318.1233  10.7063   317.6644  12.5734   318.8675  10.6169   317.1876  6.41204   316.3635  5.62773   314.3934
12.1181   317.8332  13.1207   318.7335  11.3921   318.2933  13.3001   319.4639  11.3169   317.8379  7.00966   317.0003  6.21199   315.0596
12.7534   318.3873  13.8554   319.3468  12.0976   318.907   14.0191   320.0455  12.0292   318.464   7.64797   317.6355  6.81996   315.7434
13.4549   318.9658  14.5963   319.9094  12.8222   319.5099  14.7695   320.5867  12.7485   319.0724  8.33099   318.2973  7.46365   316.4178
14.1757   319.5535  15.3394   320.4578  13.5757   320.1099  15.5325   321.1378  13.4964   319.6715  9.03211   318.9294  8.1423    317.1128
14.8932   320.069   16.1      320.9987  14.3282   320.6813  16.2974   321.6633  14.2488   320.2535  9.75195   319.5496  8.84067   317.7775
15.6359   320.6144  16.8632   321.5097  15.0828   321.2056  17.0712   322.1611  15.0005   320.7803  10.4838   320.1707  9.56576   318.4365
16.403    321.1473  17.6307   322.0054  15.8548   321.7379  17.8316   322.6273  15.7667   321.3157  11.2234   320.7567  10.2955   319.0876
17.1697   321.646   18.4028   322.466   16.6221   322.2408  18.6071   323.0809  16.5355   321.8267  11.977    321.3261  11.0374   319.7078
17.9196   322.1096  19.174    322.9213  17.3845   322.7156  19.3858   323.5257  17.3107   322.3135  12.7301   321.8674  11.7846   320.3027
18.6904   322.5681  19.9479   323.3518  18.1579   323.1612  20.1612   323.9282  18.0809   322.7626  13.4956   322.3928  12.5373   320.8745
19.4489   323.0086  20.7297   323.7439  18.9337   323.6013  20.9349   324.3147  18.8541   323.2065  14.2619   322.8956  13.3047   321.425
20.226    323.4152  21.5041   324.1383  19.7139   324.0288  21.72     324.6932  19.6319   323.6352  15.0344   323.3621  14.0662   321.957
21.0048   323.8097  22.2866   324.5095  20.4947   324.4048  22.5073   325.0603  20.4159   324.0211  15.8079   323.8203  14.8381   322.4448
21.7767   324.1869  23.0644   324.864   21.2735   324.7859  23.2902   325.4005  21.1898   324.4022  16.5804   324.2572  15.614    322.9306
22.5568   324.5564  23.8429   325.1859  22.0496   325.138   24.0769   325.7122  21.9686   324.7603  17.3561   324.6725  16.392    323.3945
23.3364   324.9007  24.6256   325.5144  22.8261   325.4862  24.8638   326.0365  22.7451   325.1114  18.1305   325.0601  17.1722   323.8303
24.1162   325.2131  25.4077   325.8193  23.5992   325.8026  25.6433   326.3274  23.5227   325.4353  18.9059   325.4374  17.9527   324.2436
24.8896   325.5395  26.1915   326.1063  24.3785   326.1073  26.4294   326.6008  24.3048   325.7426  19.6845   325.8043  18.7311   324.6403
25.6694   325.8336  26.9728   326.3819  25.1658   326.412   27.2122   326.8629  25.0903   326.0505  20.4662   326.1336  19.5031   325.0215
26.4476   326.109   27.7606   326.64    25.9432   326.6901  27.9896   327.1206  25.8677   326.3328  21.2388   326.4595  20.2793   325.3671
27.2343   326.3771  28.5384   326.9039  26.7269   326.9553  28.7654   327.364   26.6492   326.5974  22.0142   326.7635  21.0581   325.7119
28.015    326.6391  29.3199   327.1284  27.507    327.1996  29.529    327.5753  27.4371   326.849   22.7906   327.0634  21.8384   326.0344
28.7916   326.8896  30.1009   327.3537  28.2871   327.4573  30.3086   327.7994  28.217    327.1068  23.5781   327.3445  22.6287   326.355
29.567    327.1051  30.8912   327.5803  29.0696   327.6817  31.0877   328.0099  28.9952   327.3351  24.3621   327.6107  23.4081   326.6482
30.3454   327.3341  31.6743   327.786   29.8543   327.8956  31.879    328.2143  29.7747   327.5471  25.1399   327.8703  24.1893   326.9224
31.1105   327.5439  32.4537   327.9712  30.6409   328.1158  32.6534   328.3899  30.5576   327.7692  25.9162   328.11    24.9637   327.1968
31.8856   327.7481  33.2373   328.1575  31.4266   328.3123  33.4351   328.572   31.3428   327.9683  26.6982   328.3415  25.7556   327.454
32.6656   327.9255  34.0171   328.3494  32.2128   328.5026  34.2115   328.7538  32.1266   328.1618  27.4763   328.5533  26.5435   327.6956
33.4512   328.1138  34.8016   328.5054  32.9955   328.6776  34.9953   328.9079  32.9106   328.3381  28.2646   328.7763  27.3262   327.9211
34.2356   328.3017  35.5799   328.6667  33.7803   328.8603  35.7775   329.0627  33.6895   328.518   29.0503   328.9735  28.1114   328.1514
