# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat: The average lattice temperature of the simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)
0                  408.31628  0                  408.31629  0                  408.31628  0                  408.31619  0                  408.31623  0                  408.31622  0                  408.31629  0                  408.31629  0                  408.31613
0.002479000000001  408.23549  0.002842000000001  407.72532  0.002478           408.23914  0.002503000000001  408.2422   0.002482000000001  408.17574  0.002478           408.18556  0.002478           408.30676  0.002481           408.1615   0.002479000000001  408.19567
0.005051999999999  408.01975  0.005908999999999  406.68227  0.004975999999999  408.16226  0.005046           402.54665  0.004992000000001  408.28797  0.004992999999999  400.61504  0.004964000000001  407.99803  0.005011           407.99236  0.004963           405.29621
0.008049           405.38313  0.00948            406.03153  0.007556000000001  405.61309  0.007932           407.65555  0.007532999999999  407.65189  0.008341000000001  407.89831  0.007911           398.64729  0.007608000000001  408.01883  0.007849           402.17504
0.011685           407.61101  0.013916999999999  407.09317  0.010186999999998  387.87684  0.010919000000001  403.50806  0.010079999999999  407.88934  0.011738000000001  407.82053  0.012134           404.58436  0.010211000000002  408.15959  0.011330000000001  406.94833
0.015726000000001  405.69773  0.018540999999999  405.09643  0.013100999999999  407.62671  0.013919000000001  407.68751  0.012658999999999  407.21163  0.015294000000001  406.38897  0.016573999999999  405.87635  0.012834000000002  407.66515  0.015823999999999  404.35668
0.019939000000001  405.93138  0.023741999999999  401.9411   0.016041999999999  406.09021  0.016928           406.54134  0.015249000000001  407.97863  0.018865999999999  403.73731  0.021335000000001  405.21398  0.015478000000002  389.7469   0.020810000000001  404.236
0.024280999999999  404.40882  0.029482999999999  400.72621  0.018989999999999  406.96364  0.019953999999999  406.67771  0.017861           407.40417  0.022521999999999  401.35009  0.026309000000001  400.94031  0.018668999999999  406.10647  0.026015999999999  402.24675
0.029194           402.04212  0.036114999999999  395.80003  0.021944000000001  406.38816  0.022991999999999  405.67525  0.020489999999999  406.79925  0.027653999999998  402.315    0.031469000000001  401.03276  0.022324999999999  405.18045  0.032352           399.85947
0.034331000000002  399.58245  0.043666999999999  397.47836  0.024902999999998  406.05378  0.026050000000002  404.3122   0.023160000000001  406.78803  0.033217000000001  402.84462  0.036860999999998  397.93718  0.026105999999999  403.56192  0.040012999999998  398.41256
0.039677000000001  395.07144  0.053092           392.55543  0.027904           406.03513  0.029129999999999  401.03692  0.025867000000002  407.24188  0.039313           399.32793  0.044166000000001  396.35225  0.029972999999998  400.37826  0.050339000000001  394.43864
0.046005000000001  397.66791  0.065733999999999  387.60943  0.030930000000002  405.46577  0.032508           402.2368   0.028621999999999  405.19146  0.047181999999999  396.97513  0.055114           392.09075  0.034056           403.83619  0.063652999999999  386.30334
0.052886000000001  395.10602  0.087152           377.99663  0.033964999999999  404.19292  0.035959999999999  403.02104  0.031410000000001  405.65374  0.058705           391.19727  0.071072999999998  384.11159  0.038169           402.36066  0.079774000000001  380.95747
0.059909000000001  392.49187  0.122775000000001  358.86888  0.037009999999999  401.16107  0.039494000000001  401.8553   0.034239           403.84943  0.072783999999999  384.54309  0.095351999999998  373.24009  0.042307999999999  397.55452  0.098299000000001  370.51831
0.067136000000002  389.21511  0.202646000000001  343.51866  0.040106000000002  404.14351  0.043277           400.95295  0.037147999999998  404.85506  0.095438999999999  373.43882  0.128038           357.90758  0.046471           399.50042  0.123479           358.69989
0.074683           386.89385  0.397728000000001  345.81874  0.043208           402.53771  0.047148           399.53969  0.040126999999998  404.1559   0.123699999999999  359.54621  0.201730999999999  345.11618  0.050726000000001  395.51732  0.163969999999999  347.30592
0.082366           382.92782  0.619907000000001  345.70254  0.046377           401.97774  0.051138999999999  397.55881  0.043164000000001  401.13045  0.170864000000002  346.24394  0.359431000000001  346.4198   0.055147999999999  395.72389  0.239483           344.06353
0.090147999999999  378.01676  0.854548999999999  345.63467  0.049564           402.21023  0.055202000000001  397.94427  0.047122000000002  402.67135  0.287766999999999  344.99486  0.571926000000001  346.29399  0.059639000000001  391.15306  0.443774000000001  346.13934
0.098223000000001  374.99266  1.111253           345.09658  0.052859000000002  401.77418  0.059540999999999  393.53763  0.05114            394.72272  0.492553999999998  346.03083  0.786608000000001  345.59089  0.064668999999999  390.94575  0.672160999999999  346.42604
0.106521999999998  371.14867  1.386935           345.45041  0.056163000000002  399.63249  0.064312000000001  394.26049  0.055627999999999  401.4813   0.723500999999999  345.53204  1.022527           344.93489  0.069928000000001  391.6926   0.908574000000002  345.29025
0.115006999999999  367.75926  1.671828           346.30061  0.059494999999998  399.9334   0.069976000000001  392.28552  0.060227000000001  397.89584  0.964161000000001  345.35773  1.269179           344.44819  0.075433           389.04042  1.16783            345.04787
0.123795999999999  363.24171  1.963628           347.21702  0.062837999999999  397.61667  0.078066           387.4515   0.065237           396.90657  1.219732           345.2977   1.525272           345.1124   0.081795           386.76875  1.442084           345.22047
0.132861999999999  359.83138  2.260957           348.11478  0.066223999999998  398.32297  0.089015           384.61998  0.072073           394.82158  1.489129           345.66762  1.791718           345.57619  0.091298999999999  381.33727  1.722536           345.54684
