# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# C_i: Cluster index
# S_cluster: Cluster size. This number represents the number of atoms in each cluster averaged over the number of simulations for this system and method. This is the reason the number is fraction
# std_error: The standard error of S_cluster 

C_i  S_cluster         std_error
1    658.444444444444  268.497833175154
2    265.888888888889  34.0825975651816
3    187.444444444444  26.7057583839927
4    113.555555555556  12.9562416437354
5    99.6666666666667  13.5912553585834
6    86.1111111111111  11.1622434578514
7    66.7777777777778  4.04755680001933
8    53.1111111111111  4.65308871266186
9    49.4444444444444  4.34648999868192
10   44.8888888888889  4.02576578099829
11   41.6666666666667  4.15331193145904
12   38.8888888888889  3.69475771437062
13   36.5555555555556  3.59826775882473
14   32.6666666666667  3.35410196624968
15   29.7777777777778  2.90964763892744
16   28.3333333333333  2.88675134594813
17   27                2.72845092395748
18   26                2.63523138347365
19   24.4444444444444  2.24914249777746
20   23                1.9075871903766
21   22.5555555555556  1.87165339199145
22   21.4444444444444  1.79591443058273
23   20.5555555555556  1.70872849991441
24   20.4444444444444  1.69239402352531
25   19.2222222222222  1.5071844406945
26   18.6666666666667  1.38443731048635
27   18.2222222222222  1.34141071862774
28   17.6666666666667  1.25830573921179
29   17.5555555555556  1.25953156097274
30   17.2222222222222  1.23353351728747
31   16.5555555555556  1.00154202096222
32   16.5555555555556  1.00154202096222
33   16.4444444444444  0.914559868508574
34   16.1111111111111  0.734930919740164
35   15.6666666666667  0.600925212577331
36   15.4444444444444  0.709285851933539
37   14.8888888888889  0.753592220347252
38   14.8888888888889  0.753592220347252
39   14.7777777777778  0.74120355911813
40   14.6666666666667  0.687184270936277
41   14.3333333333333  0.600925212577332
