# SYSTEM: CrFeCoNi
# Method: Classical MD

# NOTES:
# C_i: Cluster index
# S_cluster: Cluster size. This number represents the number of atoms in each cluster averaged over the number of simulations for this system and method. This is the reason the number is fraction
# std_error: The standard error of S_cluster 

C_i  S_cluster         std_error
1    453.166666666667  130.394891685901
2    372.166666666667  141.714599734035
3    141.333333333333  26.3485188282842
4    108               16.7471390591548
5    86.6666666666667  7.38767742783737
6    67.8333333333333  6.69535494038798
7    60.1666666666667  7.44050476184991
8    55.3333333333333  6.75113159239085
9    52.1666666666667  6.05759394846208
10   49.1666666666667  5.90150639902879
11   44.1666666666667  3.90227853667287
12   40.3333333333333  3.55590276082522
13   36                2.16024689946929
14   33.6666666666667  1.9607254893137
15   31.8333333333333  2.24227067451229
16   30.5              2.26200501030981
17   29.3333333333333  1.89150146121481
18   27.6666666666667  1.9436506316151
19   26.8333333333333  1.93935842770518
20   26                1.86189867250253
21   24.8333333333333  1.57938103206428
22   24                1.63299316185545
23   23.3333333333333  1.80123414481417
24   22                1.43759057685652
25   21.8333333333333  1.37638818813751
26   21.3333333333333  1.25609624542778
27   21                1.15470053837925
28   20.6666666666667  1.20185042515466
29   20.6666666666667  1.20185042515466
30   19.3333333333333  0.954521404218424
31   19.1666666666667  0.945750730607407
32   18.5              0.957427107756338
33   18.3333333333333  0.843274042711568
34   17.8333333333333  0.872416821886827
35   17.3333333333333  0.614636297152859
36   17.3333333333333  0.614636297152859
37   17.1666666666667  0.542627353203324
38   16.8333333333333  0.477260702109212
39   16.8333333333333  0.477260702109212
40   16.6666666666667  0.614636297152859
41   16.3333333333333  0.918936583472682
42   16.3333333333333  0.918936583472682
43   16.1666666666667  0.909822937597079
44   15.8333333333333  0.833333333333333
45   15.6666666666667  0.843274042711568
46   15.6666666666667  0.843274042711568
47   15.3333333333333  0.760116950066092
48   15.3333333333333  0.760116950066092
49   15.3333333333333  0.760116950066092
50   15.3333333333333  0.760116950066092
51   14.6666666666667  0.881917103688197
52   14.5              0.885061203156784
53   14.3333333333333  0.843274042711568
54   14.1666666666667  0.872416821886827
55   13.8333333333333  0.833333333333333
56   13.8333333333333  0.833333333333333
57   13.6666666666667  0.760116950066092
58   13.3333333333333  0.714920352984241
59   13.3333333333333  0.714920352984241
60   13.1666666666667  0.749073501808141
61   13                0.683130051063973
62   12.8333333333333  0.654047229011619
63   12.6666666666667  0.666666666666667
64   12.5              0.5
65   12.5              0.5
66   12.5              0.5
67   12.5              0.5
68   12.5              0.5
69   12.5              0.5
70   12.3333333333333  0.333333333333333
71   12.3333333333333  0.333333333333333
