# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300
3.31889   310.9788  0.145007  303.8694  2.46516   310.2269  0.127593  303.5291  3.91225   312.7319  0.126105  303.8769  1.45224   309.8059  0.308885  305.3887  0.128032  303.494   0.1026    302.353
3.67776   311.5474  0.176438  304.5248  2.80225   310.8065  0.143268  303.9246  4.27408   313.3597  0.130909  304.0309  1.75688   310.4347  0.546352  306.7742  0.150936  304.12    0.109035  302.5295
4.05021   312.1235  0.255337  305.7592  3.14978   311.3971  0.167257  304.4369  4.65432   314.0158  0.135747  304.1862  2.06593   311.0358  0.808049  307.7711  0.191354  304.9535  0.115575  302.7019
4.43427   312.706   0.468204  307.8388  3.51031   311.9922  0.199633  304.953   5.03545   314.6546  0.140624  304.3403  2.40605   311.6727  1.08806   308.5806  0.272605  306.1316  0.122177  302.8714
4.82918   313.2892  0.738704  309.3852  3.88121   312.6005  0.254808  305.6081  5.42399   315.2743  0.145545  304.4947  2.76663   312.3196  1.39788   309.3073  0.456812  307.9809  0.129108  303.0422
5.23272   313.8589  1.01728   310.4373  4.26379   313.2204  0.435539  307.1519  5.83255   315.8976  0.150495  304.6504  3.12413   312.9433  1.7027    309.9495  0.731382  309.6517  0.136736  303.2231
5.65111   314.4192  1.2986    311.2378  4.65216   313.8363  0.703819  308.6786  6.24021   316.4987  0.155482  304.8054  3.49291   313.5745  2.02189   310.579   1.03144   310.8431  0.145119  303.4124
6.06061   314.9395  1.60141   311.9645  5.05421   314.4552  1.00879   309.8853  6.66884   317.1333  0.160515  304.9597  3.87336   314.2114  2.35346   311.1962  1.34473   311.762   0.155666  303.6395
6.47951   315.4684  1.91515   312.6311  5.47073   315.0664  1.31022   310.7963  7.09258   317.7331  0.165583  305.1144  4.26378   314.8512  2.69856   311.8184  1.66673   312.5301  0.169748  303.9154
6.90258   315.9957  2.24727   313.2882  5.88007   315.64    1.61785   311.5697  7.52862   318.2961  0.170691  305.2696  4.66099   315.4931  3.04176   312.4227  2.01525   313.2689  0.188567  304.2461
7.34725   316.5046  2.58454   313.9191  6.3204    316.2355  1.95007   312.3076  7.97009   318.8615  0.175849  305.4254  5.07133   316.1336  3.3995    313.03    2.37534   313.9712  0.223282  304.74
7.8224    317.0299  2.92804   314.5324  6.74404   316.8124  2.30326   313.0228  8.43611   319.4299  0.181197  305.5859  5.49416   316.7544  3.74503   313.609   2.74481   314.6482  0.331641  305.8333
8.29504   317.5412  3.28842   315.1516  7.20111   317.3951  2.66968   313.7196  8.91846   319.9661  0.187204  305.765   5.91835   317.3438  4.11722   314.226   3.11826   315.3041  0.5668    307.658
8.8043    318.0371  3.66568   315.7759  7.70583   317.9977  3.0373    314.3792  9.42328   320.5058  0.19427   305.9766  6.35185   317.9299  4.5051    314.8523  3.51031   315.958   0.822934  309.2056
9.34657   318.5366  4.05067   316.3948  8.23941   318.62    3.40821   315.0172  9.94163   321.0516  0.20161   306.1955  6.82514   318.5671  4.8984    315.4795  3.90875   316.5915  1.10652   310.4846
9.91464   319.0421  4.43951   316.9968  8.78856   319.1981  3.79906   315.6589  10.4955   321.6305  0.209883  306.4434  7.33364   319.2016  5.29755   316.0801  4.31795   317.2242  1.38768   311.4746
10.4893   319.5514  4.85209   317.6153  9.3372    319.7451  4.21425   316.3267  11.0466   322.1675  0.219238  306.7196  7.87339   319.8409  5.70051   316.6598  4.74372   317.8576  1.68351   312.3092
11.0882   320.0466  5.27239   318.2147  9.92484   320.3149  4.6462    316.9867  11.6088   322.6808  0.232669  307.093   8.42119   320.4574  6.1262    317.2473  5.17231   318.4636  1.99033   313.0117
11.6944   320.516   5.69563   318.7808  10.5235   320.8914  5.08788   317.6262  12.1935   323.184   0.249229  307.4946  9.00796   321.0567  6.56714   317.8533  5.61707   319.0561  2.31535   313.6496
12.311    320.9668  6.13485   319.3391  11.1291   321.4299  5.55886   318.2773  12.7995   323.6796  0.274215  307.9867  9.61221   321.6457  6.99468   318.4316  6.05791   319.6025  2.65583   314.2448
12.9488   321.4051  6.57734   319.8991  11.753    321.9498  6.04002   318.9027  13.4464   324.1687  0.336301  308.8767  10.2313   322.2434  7.42995   318.9684  6.55102   320.202   3.01983   314.8255
13.5965   321.8262  7.01261   320.4317  12.3915   322.4548  6.55301   319.547   14.0494   324.6254  0.519784  310.6332  10.8656   322.8227  7.90745   319.5445  7.04302   320.7825  3.38913   315.3662
14.26     322.2438  7.49339   320.9695  13.0595   322.9403  7.08173   320.1922  14.6874   325.0392  0.80296   312.3609  11.5078   323.3698  8.39729   320.1098  7.57316   321.3557  3.76792   315.8864
14.9307   322.5989  8.02271   321.5464  13.7423   323.4206  7.65838   320.8357  15.3492   325.4498  1.10134   313.5077  12.1671   323.8938  8.89818   320.6388  8.13276   321.9453  4.16355   316.4097
15.6228   322.9736  8.57848   322.1059  14.4244   323.8676  8.25327   321.4764  16.0276   325.8684  1.42758   314.3825  12.8301   324.39    9.43263   321.1797  8.71717   322.5051  4.5678    316.9221
16.328    323.3335  9.15851   322.646   15.1049   324.2541  8.87846   322.0866  16.7153   326.2623  1.75957   315.0993  13.5209   324.8716  9.98517   321.7302  9.30609   323.0258  4.98639   317.4387
17.0409   323.6686  9.75809   323.1829  15.8176   324.6697  9.45451   322.6208  17.4031   326.6332  2.10249   315.7415  14.2142   325.3429  10.5627   322.2921  9.90203   323.5347  5.41381   317.9278
17.7589   323.9926  10.3676   323.7265  16.5311   325.0577  10.1068   323.2068  18.0694   326.9609  2.45517   316.351   14.898    325.7374  11.1605   322.8374  10.5338   324.0657  5.83606   318.3824
18.4845   324.2861  10.9935   324.2419  17.2442   325.4155  10.7793   323.7798  18.7864   327.2999  2.81843   316.94    15.601    326.1458  11.7595   323.3492  11.1728   324.5655  6.27701   318.8363
19.2161   324.5774  11.647    324.7487  17.9617   325.7528  11.4529   324.3184  19.4962   327.6285  3.20807   317.541   16.3308   326.5462  12.3691   323.8441  11.8137   325.0326  6.73333   319.3051
19.9559   324.8596  12.2946   325.2201  18.6978   326.0756  12.081    324.7812  20.1929   327.9183  3.59745   318.1114  17.0615   326.9161  13.0113   324.3205  12.4597   325.477   7.20743   319.7648
20.7073   325.0857  12.9637   325.6734  19.4214   326.3855  12.7759   325.2745  20.9329   328.1752  4.00929   318.6916  17.7883   327.2672  13.6856   324.8043  13.149    325.9168  7.72494   320.2268
21.458    325.3236  13.6598   326.1199  20.1615   326.6747  13.4934   325.7434  21.6464   328.4397  4.41927   319.247   18.5135   327.5836  14.3321   325.2487  13.8366   326.3425  8.26767   320.704
22.2057   325.5423  14.3679   326.5509  20.9085   326.9188  14.2169   326.1967  22.3818   328.6917  4.84499   319.8074  19.2413   327.895   14.9544   325.6125  14.5275   326.734   8.8356    321.1506
22.9544   325.7647  15.0606   326.9137  21.6522   327.1741  14.9284   326.5837  23.1184   328.9445  5.27532   320.3487  19.9798   328.1965  15.6517   326.0337  15.2232   327.082   9.43254   321.5933
23.7022   325.9525  15.7772   327.296   22.3998   327.4115  15.6506   326.9741  23.8625   329.1524  5.72654   320.8816  20.724    328.4419  16.3546   326.4306  15.9394   327.4435  10.0482   322.0328
24.4635   326.1215  16.4953   327.6555  23.1468   327.6449  16.3926   327.3535  24.6143   329.3542  6.19273   321.4022  21.4733   328.697   17.0582   326.7984  16.6543   327.7824  10.6685   322.4648
25.2153   326.3116  17.2192   327.9877  23.9001   327.8396  17.1212   327.6967  25.3683   329.5742  6.68771   321.9457  22.2141   328.9309  17.7679   327.1543  17.3766   328.1012  11.3146   322.8831
25.9711   326.471   17.9438   328.3023  24.6515   328.0294  17.855    328.0231  26.1137   329.7527  7.17276   322.4517  22.9615   329.1706  18.4806   327.4766  18.0933   328.3893  11.9659   323.2741
26.7373   326.6069  18.6399   328.5813  25.4056   328.2283  18.5549   328.3089  26.8666   329.9084  7.73313   322.9902  23.7126   329.3758  19.2093   327.7988  18.8222   328.6704  12.5793   323.628
27.4977   326.7441  19.3755   328.8705  26.1572   328.3939  19.2999   328.607   27.6193   330.0613  8.2928    323.5162  24.4689   329.5602  19.949    328.114   19.5646   328.9486  13.2474   323.9776
28.2659   326.88    20.1185   329.141   26.9098   328.5397  20.0473   328.886   28.3757   330.2249  8.89266   324.0192  25.2241   329.7637  20.6932   328.3658  20.3112   329.1958  13.9567   324.3445
29.0192   327.0113  20.8702   329.3683  27.6665   328.6822  20.8023   329.121   29.1257   330.3727  9.50563   324.5082  25.9758   329.9353  21.4314   328.6269  21.0534   329.4109  14.665    324.6712
29.777    327.1107  21.6147   329.6026  28.4236   328.8353  21.5506   329.3579  29.8706   330.4859  10.1323   324.9932  26.7344   330.0838  22.1742   328.8699  21.8026   329.6348  15.3642   324.9698
30.5381   327.2214  22.3627   329.8201  29.1758   328.9663  22.3101   329.5858  30.6285   330.6185  10.7757   325.469   27.4888   330.2302  22.927    329.121   22.5489   329.8462  16.0826   325.2687
31.3046   327.3292  23.1144   330.0366  29.9269   329.0746  23.054    329.8018  31.3941   330.7413  11.4163   325.916   28.2438   330.3762  23.6197   329.3175  23.3051   330.0485  16.8246   325.558
32.0713   327.4227  23.8622   330.2182  30.6913   329.1981  23.7969   329.988   32.1577   330.8519  12.0763   326.3396  28.9984   330.5182  24.3444   329.498   24.0598   330.2154  17.5607   325.8293
32.8287   327.5003  24.6164   330.3911  31.4534   329.3085  24.5443   330.1641  32.9085   330.9386  12.7505   326.7548  29.7451   330.6273  25.0959   329.7091  24.8071   330.3871  18.3095   326.0754
33.5932   327.576   25.3765   330.5764  32.2087   329.4107  25.2955   330.3493  33.6661   331.0278  13.4643   327.1581  30.4968   330.7453  25.8509   329.8922  25.5653   330.5574  19.0484   326.3121
34.354    327.668   26.1267   330.7301  32.9765   329.4912  26.0456   330.5092  34.4293   331.1392  14.1803   327.553   31.2552   330.8613  26.6041   330.0445  26.3242   330.7014  19.7953   326.5446
35.1155   327.7319  26.8853   330.8677  33.7384   329.5771  26.7996   330.6441  35.1902   331.2096  14.8833   327.8844  32.0199   330.963   27.3661   330.2019  27.0714   330.8313  20.5532   326.7379
35.8807   327.7949  27.644    330.9988  34.493    329.6767  27.5594   330.7854  35.9494   331.2838  15.5927   328.2185  32.7837   331.0517  28.1148   330.3457  27.8372   330.9558  21.3045   326.9274
36.6494   327.8582  28.3996   331.1392  35.2624   329.7413  28.3194   330.9241  36.7084   331.3581  16.272    328.5191  33.5514   331.1341  28.8717   330.5001  28.5974   331.0934  22.0629   327.1092
37.4186   327.9217  29.1543   331.262   36.0239   329.8106  29.0644   331.0498  37.474    331.4332  16.9599   328.8051  34.3111   331.2324  29.6282   330.6154  29.3506   331.2035  22.76     327.2767
38.189    327.9821  29.9083   331.3639  36.7896   329.8811  29.8149   331.1533  38.2369   331.5014  17.687    329.0948  35.0682   331.304   30.3793   330.7356  30.1099   331.3019  23.5217   327.4395
38.9595   328.012   30.6697   331.4764  37.558    329.9502  30.5663   331.2654  38.9989   331.5357  18.388    329.3434  35.8244   331.3739  31.135    330.859   30.8671   331.4106  24.28     327.5767
